reponame,time_avg,n
mozilla/sops,58.06666666666667,15
yuin/gopher-lua,51.6,5
knadh/listmonk,64.33333333333333,3
letsencrypt/boulder,206.56521739130434,23
google/gopacket,29.153846153846153,39
googollee/go-socket.io,47.333333333333336,3
uber/kraken,149.6,5
progrium/localtunnel,76.0,2
vmware-tanzu/octant,200.14285714285714,7
nuclio/nuclio,53.68421052631579,19
goproxyio/goproxy,19.0,3
tianon/gosu,104.0,1
hashicorp/raft,35.421052631578945,19
Tencent/bk-cmdb,703.0,15
uber/cadence,87.38461538461539,13
bitly/go-simplejson,25.5,2
manifoldco/promptui,12.0,5
graph-gophers/graphql-go,38.9,10
michenriksen/aquatone,23.666666666666668,3
hasura/gitkube,71.0,2
ffhelicopter/Go42,12.0,1
jwilder/dockerize,46.0,2
goby-lang/goby,187.92857142857142,14
claudiodangelis/qr-filetransfer,25.75,4
gopasspw/gopass,91.0,6
AsynkronIT/protoactor-go,103.91666666666667,12
gwuhaolin/lightsocks,20.0,2
nytimes/gizmo,40.75,8
gorgonia/gorgonia,155.75,4
davyxu/cellnet,497.0,1
BurntSushi/toml,54.5,4
windmilleng/tilt,271.875,8
vugu/vugu,76.0,2
google/pprof,49.42857142857143,7
bosun-monitor/bosun,226.64705882352942,17
cortesi/devd,172.0,1
go-macaron/macaron,213.0,1
gomods/athens,27.05263157894737,19
wercker/stern,21.333333333333332,3
crawlab-team/crawlab,44.2,5
securego/gosec,45.5,8
asticode/go-astilectron,65.5,2
vulcand/vulcand,46.77777777777778,9
google/netstack,26.625,16
sourcegraph/sourcegraph,172.80769230769232,26
fatih/structs,140.0,1
streadway/amqp,71.5,6
zxh0/jvm.go,24.0,2
buger/jsonparser,58.0,3
oklog/oklog,104.5,2
heroiclabs/nakama,163.75,4
dominikh/go-tools,417.0,3
gilbertchen/duplicacy,9.666666666666666,6
imgproxy/imgproxy,540.0,1
99designs/aws-vault,59.888888888888886,9
disintegration/imaging,55.333333333333336,3
olebedev/go-starter-kit,30.0,2
mitchellh/mapstructure,76.5,2
kubernetes/client-go,37.90909090909091,44
lni/dragonboat,647.0,1
sourcegraph/checkup,20.25,4
h2non/imaginary,161.66666666666666,3
gobwas/ws,109.5,2
NebulousLabs/Sia,420.3636363636364,22
hybridgroup/gocv,55.5,18
kgretzky/evilginx2,37.5,2
alecthomas/kingpin,80.0,3
prometheus/alertmanager,70.73076923076923,26
nektos/act,46.0,2
allegro/bigcache,14.0,4
karan/joe,5.0,1
chrislusf/glow,105.0,3
anthonynsimon/bild,249.0,1
iron-io/functions,50.81818181818182,11
open-policy-agent/opa,116.23529411764706,17
jingweno/ccat,54.5,2
mholt/certmagic,61.0,1
libp2p/go-libp2p,71.76470588235294,17
pion/webrtc,62.642857142857146,14
ksimka/go-is-not-good,22.0,1
google/syzkaller,135.76666666666668,30
operator-framework/operator-sdk,59.08695652173913,23
c-bata/go-prompt,152.5,2
hashicorp/hcl,70.57142857142857,7
siddontang/go-mysql-elasticsearch,59.0,2
google/wire,44.0,3
koding/kite,156.3,10
rcrowley/go-metrics,58.6,5
mholt/archiver,48.0,2
schollz/croc,149.0,7
monochromegane/the_platinum_searcher,73.16666666666667,6
nlopes/slack,23.263157894736842,19
rs/zerolog,66.5,2
faiface/pixel,65.23076923076923,13
mailgun/godebug,102.0,2
d4l3k/go-pry,91.0,2
googleforgames/agones,76.4,10
remind101/empire,204.63636363636363,11
golang/oauth2,37.5,6
soundcloud/roshi,138.5,2
kelseyhightower/envconfig,22.666666666666668,3
fogleman/ln,81.0,1
360EntSecGroup-Skylar/goreporter,196.0,1
kubernetes-retired/heapster,59.833333333333336,36
pquerna/ffjson,139.66666666666666,3
